id,uptodate,state,race_id_last_race,date_last_race,name,country,age,color,owner,sire,dam,dam_sire,sex,Total_races,Wins,Percentage_wins,placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
113269,2025-08-25,Active,183507,2025-08-26,Sophiesticate,IRE,6,bay,Ayr Racecourse Club,War Command (USA),Lenoire (UK),Galileo (IRE),filly,38.0,3.0,7.89%,13.0,34.21%,1.0,0.0,0.00%,0.0,0%,37.0,3.0,8.11%,13.0,35.14%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
113372,2025-08-25,Active,183488,2025-08-26,Moel Arthur,USA,7,bay,Kestonracingclub,Flintshire (UK),Quest to Peak (USA),Distant View (USA),gelding,22.0,2.0,9.09%,10.0,45.45%,18.0,2.0,11.11%,7.0,38.89%,4.0,0.0,0.00%,3.0,75.00%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
113808,2025-08-25,Active,183510,2025-08-26,Drish Melody,IRE,6,bay,Barry Davis,Galileo Gold (UK),Flashing Blade (UK),Inchinor (UK),filly,22.0,2.0,9.09%,1.0,4.55%,7.0,1.0,14.29%,0.0,0%,15.0,1.0,6.67%,1.0,6.67%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
114088,2025-08-25,Active,183505,2025-08-26,Without Delay,IRE,6,chestnut,Mr W J Laws,Decorated Knight (UK),Apace (IRE),Oasis Dream (UK),mare,43.0,5.0,11.63%,11.0,25.58%,4.0,0.0,0.00%,1.0,25.00%,39.0,5.0,12.82%,10.0,25.64%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
114770,2025-08-25,Active,183500,2025-08-26,Clear Angel,GB,7,bay,Castle View Racing,Dark Angel (IRE),Calypso Beat (USA),Speightstown (USA),gelding,32.0,4.0,12.50%,12.0,37.50%,14.0,1.0,7.14%,6.0,42.86%,18.0,3.0,16.67%,6.0,33.33%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
115040,2025-08-25,Active,183501,2025-08-26,Team Endeavour,GB,6,bay,Mrs Allison Stamper,Bated Breath (UK),Olympic Medal (UK),Nayef (USA),gelding,22.0,1.0,4.55%,5.0,22.73%,8.0,0.0,0.00%,4.0,50.00%,11.0,1.0,9.09%,1.0,9.09%,0.0,0.0,0%,0.0,0%,3.0,0.0,0.00%,0.0,0%
115653,2025-08-25,Active,183507,2025-08-26,Star Of Markinch,IRE,9,bay,Mr Richard Chapman,Watar (IRE),Gibboghstown (IRE),Second Empire (IRE),mare,34.0,0.0,0%,4.0,11.76%,7.0,0.0,0.00%,3.0,42.86%,20.0,0.0,0.00%,4.0,20.00%,0.0,0.0,0%,0.0,0%,7.0,0.0,0.00%,1.0,14.29%
117112,2025-08-25,Active,183505,2025-08-26,Scarriff,IRE,7,chestnut,Mr Gerry Mcgladery,Dandy Man (IRE),Maria Milena (UK),Stravinsky (USA),filly,22.0,2.0,9.09%,6.0,27.27%,3.0,0.0,0.00%,1.0,33.33%,19.0,2.0,10.53%,5.0,26.32%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
117231,2025-08-25,Active,183515,2025-08-26,Baltic Bird,GB,6,bay,William Durkan,Frankel (UK),Baltic Baroness (GER),Shamardal (USA),gelding,27.0,4.0,14.81%,6.0,22.22%,0.0,0.0,0%,0.0,0%,11.0,1.0,9.09%,3.0,27.27%,2.0,1.0,50.00%,0.0,0%,14.0,2.0,14.29%,3.0,21.43%
117612,2025-08-25,Active,183499,2025-08-26,The Green Man,IRE,6,bay,The Dalby Family & Partners,Acclamation (UK),Lydia Becker (UK),Sleeping Indian (UK),gelding,34.0,4.0,11.76%,11.0,32.35%,11.0,1.0,9.09%,5.0,45.45%,23.0,3.0,13.04%,6.0,26.09%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
118371,2025-08-25,Active,183509,2025-08-26,Distillate,GB,5,chestnut,Mark Devlin & Nigel O'Hare & Philip Smith,Havana Grey (UK),Dolly Colman (IRE),Diamond Green (FR),filly,68.0,5.0,7.35%,17.0,25.00%,12.0,1.0,8.33%,6.0,50.00%,56.0,4.0,7.14%,11.0,19.64%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
118590,2025-08-25,Active,183509,2025-08-26,Drafted,IRE,5,bay,James M Flaherty,Showcasing (UK),Flower Fashion (FR),Flower Alley (USA),gelding,24.0,2.0,8.33%,9.0,37.50%,12.0,2.0,16.67%,5.0,41.67%,12.0,0.0,0.00%,4.0,33.33%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
118893,2025-08-25,Active,183510,2025-08-26,Boomerang Bill,IRE,6,bay,Adrian Sexton,Awtaad (IRE),Charlotte Rua (IRE),Redback (UK),gelding,17.0,0.0,0%,2.0,11.76%,5.0,0.0,0.00%,1.0,20.00%,12.0,0.0,0.00%,1.0,8.33%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
118990,2025-08-25,Active,183491,2025-08-26,Pending Appeal,GB,5,bay,Dr M Voikhansky & Mrs S Voikhanskaya,Lawman (FR),Influent (IRE),Shamardal (USA),mare,24.0,1.0,4.17%,7.0,29.17%,11.0,0.0,0.00%,6.0,54.55%,13.0,1.0,7.69%,1.0,7.69%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
119083,2025-08-25,Active,183509,2025-08-26,Nibras Rainbow,IRE,5,bay,Mind Your Own Business Syndicate,U S Navy Flag (USA),Show Rainbow (UK),Haafhd (UK),gelding,38.0,3.0,7.89%,9.0,23.68%,15.0,1.0,6.67%,6.0,40.00%,22.0,2.0,9.09%,3.0,13.64%,0.0,0.0,0%,0.0,0%,1.0,0.0,0.00%,0.0,0%
119097,2025-08-25,Active,183510,2025-08-26,Hastily,GB,6,bay,Stephen Mcguinness,Charm Spirit (IRE),Likely (GER),Exceed and Excel (AUS),filly,38.0,4.0,10.53%,4.0,10.53%,9.0,1.0,11.11%,2.0,22.22%,26.0,3.0,11.54%,2.0,7.69%,0.0,0.0,0%,0.0,0%,3.0,0.0,0.00%,0.0,0%
119416,2025-08-25,Active,183501,2025-08-26,Regally Blonde,GB,6,chestnut,Case Racing Partnership & Anita J Lush,Mukhadram (UK),Jolie Blonde (UK),Sir Percy (UK),filly,30.0,1.0,3.33%,9.0,30.00%,3.0,0.0,0.00%,1.0,33.33%,12.0,1.0,8.33%,6.0,50.00%,1.0,0.0,0.00%,0.0,0%,14.0,0.0,0.00%,2.0,14.29%
119523,2025-08-25,Active,183515,2025-08-26,Molly Hall,IRE,7,g,P R Dowling & Ms L R Dowling,Parish Hall (IRE),Holy Matrimony (IRE),Holy Roman Emperor (IRE),mare,20.0,5.0,25.00%,2.0,10.00%,1.0,0.0,0.00%,0.0,0%,16.0,5.0,31.25%,2.0,12.50%,0.0,0.0,0%,0.0,0%,3.0,0.0,0.00%,2.0,66.67%
119769,2025-08-25,Active,183496,2025-08-26,Bay Dream Believer,IRE,6,bay,Ursa Major Racing Ltd & Partner,New Bay (UK),Arabescatta (UK),Monsun (GER),filly,35.0,5.0,14.29%,8.0,22.86%,6.0,0.0,0.00%,0.0,0%,29.0,5.0,17.24%,8.0,27.59%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
119784,2025-08-25,Active,183509,2025-08-26,Haughty,GB,5,bay,R Mathew,Adaay (IRE),So Hoity Toity (UK),Harbour Watch (IRE),filly,14.0,1.0,7.14%,2.0,14.29%,3.0,0.0,0.00%,1.0,33.33%,9.0,1.0,11.11%,2.0,22.22%,0.0,0.0,0%,0.0,0%,2.0,0.0,0.00%,0.0,0%
120250,2025-08-25,Active,183513,2025-08-26,Escaping Thejungle,IRE,5,bay,Alan Delany,Bungle Inthejungle (UK),Clodilla (IRE),Clodovil (IRE),filly,14.0,2.0,14.29%,5.0,35.71%,2.0,0.0,0.00%,1.0,50.00%,12.0,2.0,16.67%,4.0,33.33%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
120290,2025-08-25,Active,183510,2025-08-26,Master Garvey,IRE,5,bay,Patrick M O'Brien & Larry Murray & Richard W Walsh & Derek Cummins,Dragon Pulse (IRE),Free Lance (IRE),Grand Lodge (USA),gelding,40.0,2.0,5.00%,12.0,30.00%,13.0,1.0,7.69%,3.0,23.08%,27.0,1.0,3.70%,9.0,33.33%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
120301,2025-08-25,Active,183507,2025-08-26,Rory The Cat,IRE,5,chestnut,The Cool Cats,Starspangledbanner (AUS),Obligada (IRE),Beat Hollow (UK),gelding,35.0,5.0,14.29%,10.0,28.57%,2.0,0.0,0.00%,1.0,50.00%,25.0,3.0,12.00%,9.0,36.00%,0.0,0.0,0%,0.0,0%,8.0,2.0,25.00%,1.0,12.50%
120375,2025-08-25,Active,183505,2025-08-26,Zebra Star,IRE,5,grey,Loudoun Zebras,Gregorian (IRE),Queen Zain (IRE),Lawman (FR),filly,36.0,3.0,8.33%,7.0,19.44%,9.0,0.0,0.00%,1.0,11.11%,27.0,3.0,11.11%,6.0,22.22%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
121141,2025-08-25,Active,183491,2025-08-26,Sir Laurence Graff,IRE,5,bay,Chelsea Banham Pre Training Ltd,Galileo (IRE),Daldiyna (FR),Dansili (UK),gelding,33.0,2.0,6.06%,9.0,27.27%,22.0,2.0,9.09%,4.0,18.18%,11.0,0.0,0.00%,5.0,45.45%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
121276,2025-08-25,Active,183501,2025-08-26,Sea Master,GB,5,chestnut,Mr Peter Ward,Sea The Stars (IRE),Altesse (UK),Hernando (FR),colt,17.0,1.0,5.88%,1.0,5.88%,4.0,0.0,0.00%,2.0,50.00%,13.0,1.0,7.69%,1.0,7.69%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
121599,2025-08-25,Active,183500,2025-08-26,Dumfries,GB,5,bay,"Buist, Shields, Thompson And Mrs R Car",Cityscape (UK),Milldale (UK),Bushranger (IRE),gelding,31.0,4.0,12.90%,7.0,22.58%,12.0,1.0,8.33%,3.0,25.00%,19.0,3.0,15.79%,4.0,21.05%,0.0,0.0,0%,0.0,0%,0.0,0.0,0%,0.0,0%
121833,2025-08-25,Active,183510,2025-08-26,La Tulipe Noire,IRE,5,bay,Aengus King,Berkshire (IRE),Ambermaryrose (IRE),Cape Cross (IRE),filly,31.0,1.0,3.23%,3.0,9.68%,6.0,1.0,16.67%,0.0,0%,18.0,0.0,0.00%,3.0,16.67%,1.0,0.0,0.00%,0.0,0%,6.0,0.0,0.00%,0.0,0%
