Trainer_ID,UptoDate,Name,Total_races,Wins,Percentage_wins,Placed,Percentage_placed,Flat_AW_races,Flat_AW_wins,Flat_AW_rate,Flat_AW_placed,Flat_AW_placed_rate,Flat_Turf_races,Flat_Turf_wins,Flat_Turf_rate,Flat_Turf_placed,Flat_Turf_placed_rate,Chase_races,Chase_wins,Chase_rate,Chase_placed,Chase_placed_rate,Hurdle_races,Hurdle_wins,Hurdle_rate,Hurdle_placed,Hurdle_placed_rate
87,2025-08-25,S Fahey,1331,57,4.28%,300,22.54%,158,5,3.16%,26,16.46%,475,23,4.84%,92,19.37%,75,4,5.33%,28,37.33%,623,25,4.01%,154,24.72%
88,2025-08-25,Miss McGuinness,125,4,3.20%,14,11.20%,13,0,0%,0,0%,44,1,2.27%,3,6.82%,2,0,0%,0,0%,66,3,4.55%,11,16.67%
89,2025-08-25,E J O'Grady,2247,186,8.28%,682,30.35%,86,3,3.49%,26,30.23%,517,34,6.58%,177,34.24%,582,50,8.59%,173,29.73%,1062,99,9.32%,306,28.81%
90,2025-08-25,Brian Jordan,136,10,7.35%,48,35.29%,0,0,0%,0,0%,27,1,3.70%,5,18.52%,54,4,7.41%,30,55.56%,55,5,9.09%,13,23.64%
91,2025-08-25,A K Wyse,41,1,2.44%,7,17.07%,0,0,0%,0,0%,1,0,0%,0,0%,10,0,0%,2,20.00%,30,1,3.33%,5,16.67%
92,2025-08-25,M Hourigan,1867,132,7.07%,520,27.85%,19,1,5.26%,2,10.53%,310,16,5.16%,77,24.84%,480,34,7.08%,144,30.00%,1058,81,7.66%,297,28.07%
93,2025-08-25,P Magnier,70,7,10.00%,6,8.57%,2,0,0%,0,0%,26,4,15.38%,1,3.85%,6,0,0%,0,0%,36,3,8.33%,5,13.89%
94,2025-08-25,R Donohoe,781,43,5.51%,137,17.54%,150,8,5.33%,24,16.00%,296,22,7.43%,50,16.89%,34,2,5.88%,4,11.76%,301,11,3.65%,59,19.60%
95,2025-08-25,E Sheehy,852,23,2.70%,105,12.32%,66,0,0%,6,9.09%,182,2,1.10%,23,12.64%,174,10,5.75%,33,18.97%,430,11,2.56%,43,10.00%
96,2025-08-25,F Flood,748,50,6.68%,163,21.79%,1,0,0%,0,0%,71,3,4.23%,18,25.35%,272,26,9.56%,67,24.63%,404,21,5.20%,78,19.31%
97,2025-08-25,W C O'Brien,135,6,4.44%,21,15.56%,7,0,0%,0,0%,59,3,5.08%,4,6.78%,9,1,11.11%,1,11.11%,60,2,3.33%,16,26.67%
98,2025-08-25,Ms H P Markham,205,5,2.44%,33,16.10%,0,0,0%,0,0%,6,0,0%,0,0%,105,4,3.81%,22,20.95%,94,1,1.06%,11,11.70%
99,2025-08-25,G Hayes,54,2,3.70%,11,20.37%,4,0,0%,0,0%,15,0,0%,4,26.67%,13,0,0%,4,30.77%,22,2,9.09%,3,13.64%
100,2025-08-25,P J Colville,112,5,4.46%,26,23.21%,0,0,0%,0,0%,29,2,6.90%,8,27.59%,19,1,5.26%,5,26.32%,64,2,3.13%,13,20.31%
101,2025-08-25,R F O'Gorman,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
102,2025-08-25,J F Coupland,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
103,2025-08-25,C R Dore,1806,150,8.31%,509,28.18%,1270,109,8.58%,335,26.38%,298,24,8.05%,85,28.52%,34,3,8.82%,12,35.29%,204,14,6.86%,77,37.75%
104,2025-08-25,Miss J R Tooth,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
105,2025-08-25,M Quinn,852,67,7.86%,302,35.45%,331,20,6.04%,103,31.12%,484,43,8.88%,184,38.02%,2,0,0%,0,0%,35,4,11.43%,15,42.86%
106,2025-08-25,J Pearce,7,0,0%,1,14.29%,6,0,0%,1,16.67%,1,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
107,2025-08-25,J M Bradley,2498,157,6.29%,678,27.14%,1334,98,7.35%,404,30.28%,1051,55,5.23%,247,23.50%,58,4,6.90%,21,36.21%,55,0,0%,6,10.91%
108,2025-08-25,George Baker,3522,399,11.33%,1099,31.20%,1264,162,12.82%,390,30.85%,1986,209,10.52%,619,31.17%,30,5,16.67%,8,26.67%,242,23,9.50%,82,33.88%
109,2025-08-25,D Shaw,4012,282,7.03%,1090,27.17%,2957,246,8.32%,840,28.41%,852,29,3.40%,187,21.95%,29,1,3.45%,10,34.48%,174,6,3.45%,53,30.46%
110,2025-08-25,J R Best,1937,159,8.21%,613,31.65%,1219,103,8.45%,411,33.72%,714,55,7.70%,200,28.01%,4,1,25.00%,2,50.00%,0,0,0%,0,0%
111,2025-08-25,J S Moore,3266,223,6.83%,1020,31.23%,1662,142,8.54%,594,35.74%,1569,81,5.16%,418,26.64%,2,0,0%,1,50.00%,33,0,0%,7,21.21%
112,2025-08-25,J R Boyle,2622,252,9.61%,767,29.25%,1239,110,8.88%,378,30.51%,1234,124,10.05%,353,28.61%,27,1,3.70%,6,22.22%,122,17,13.93%,30,24.59%
113,2025-08-25,Karen George,445,24,5.39%,122,27.42%,175,15,8.57%,42,24.00%,186,7,3.76%,56,30.11%,8,0,0%,4,50.00%,76,2,2.63%,20,26.32%
114,2025-08-25,P D Evans,9851,1023,10.38%,3380,34.31%,4849,544,11.22%,1650,34.03%,4741,455,9.60%,1652,34.84%,58,9,15.52%,12,20.69%,203,15,7.39%,66,32.51%
115,2025-08-25,H J Collingridge,1,0,0%,1,100.00%,1,0,0%,1,100.00%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
116,2025-08-25,B Forsey,231,13,5.63%,58,25.11%,65,4,6.15%,12,18.46%,38,4,10.53%,12,31.58%,30,2,6.67%,4,13.33%,98,3,3.06%,30,30.61%
117,2025-08-25,G P Enright,74,2,2.70%,8,10.81%,20,0,0%,2,10.00%,8,0,0%,0,0%,19,2,10.53%,3,15.79%,27,0,0%,3,11.11%
118,2025-08-25,P S McEntee,3591,290,8.08%,1072,29.85%,2604,204,7.83%,828,31.80%,943,84,8.91%,236,25.03%,6,0,0%,2,33.33%,38,2,5.26%,6,15.79%
119,2025-08-25,A J Lidderdale,737,62,8.41%,178,24.15%,411,40,9.73%,102,24.82%,237,16,6.75%,61,25.74%,18,2,11.11%,1,5.56%,71,4,5.63%,14,19.72%
120,2025-08-25,I W McInnes,667,29,4.35%,120,17.99%,287,11,3.83%,59,20.56%,358,16,4.47%,58,16.20%,2,0,0%,0,0%,20,2,10.00%,3,15.00%
121,2025-08-25,C N Kellett,715,34,4.76%,151,21.12%,218,9,4.13%,47,21.56%,276,21,7.61%,57,20.65%,94,1,1.06%,28,29.79%,127,3,2.36%,19,14.96%
122,2025-08-25,S A Harris,2080,142,6.83%,539,25.91%,976,74,7.58%,277,28.38%,764,46,6.02%,174,22.77%,79,10,12.66%,32,40.51%,261,12,4.60%,56,21.46%
123,2025-08-25,M R Bosley,753,45,5.98%,209,27.76%,359,22,6.13%,96,26.74%,168,12,7.14%,38,22.62%,79,6,7.59%,34,43.04%,147,5,3.40%,41,27.89%
124,2025-08-25,S Woodman,285,13,4.56%,85,29.82%,148,9,6.08%,44,29.73%,108,4,3.70%,29,26.85%,9,0,0%,6,66.67%,20,0,0%,6,30.00%
125,2025-08-25,N P Littmoden,836,82,9.81%,245,29.31%,492,57,11.59%,170,34.55%,248,14,5.65%,49,19.76%,18,5,27.78%,4,22.22%,78,6,7.69%,22,28.21%
126,2025-08-25,M J Attwater,3738,251,6.71%,1053,28.17%,2409,155,6.43%,682,28.31%,1281,94,7.34%,368,28.73%,3,1,33.33%,0,0%,45,1,2.22%,3,6.67%
127,2025-08-25,C F Wall,2111,287,13.60%,689,32.64%,702,97,13.82%,254,36.18%,1408,190,13.49%,434,30.82%,1,0,0%,1,100.00%,0,0,0%,0,0%
128,2025-08-25,Miss Amy Weaver,259,18,6.95%,51,19.69%,112,10,8.93%,27,24.11%,126,8,6.35%,21,16.67%,3,0,0%,0,0%,18,0,0%,3,16.67%
129,2025-08-25,N B King,2686,326,12.14%,992,36.93%,158,27,17.09%,51,32.28%,303,32,10.56%,101,33.33%,705,102,14.47%,240,34.04%,1520,165,10.86%,600,39.47%
130,2025-08-25,T D McCarthy,212,9,4.25%,53,25.00%,170,9,5.29%,47,27.65%,34,0,0%,6,17.65%,1,0,0%,0,0%,7,0,0%,0,0%
131,2025-08-25,G G Margarson,1732,174,10.05%,524,30.25%,701,92,13.12%,274,39.09%,1030,82,7.96%,250,24.27%,0,0,0%,0,0%,1,0,0%,0,0%
132,2025-08-25,C Gordon,3249,412,12.68%,1076,33.12%,204,10,4.90%,49,24.02%,412,44,10.68%,148,35.92%,877,134,15.28%,290,33.07%,1756,224,12.76%,589,33.54%
133,2025-08-25,M Wellings,51,4,7.84%,7,13.73%,46,4,8.70%,7,15.22%,5,0,0%,0,0%,0,0,0%,0,0%,0,0,0%,0,0%
134,2025-08-25,W R Swinburn,300,32,10.67%,60,20.00%,85,9,10.59%,18,21.18%,215,23,10.70%,42,19.53%,0,0,0%,0,0%,0,0,0%,0,0%
135,2025-08-25,A W Carroll,11335,1069,9.43%,3477,30.67%,5658,540,9.54%,1806,31.92%,4295,417,9.71%,1258,29.29%,349,37,10.60%,113,32.38%,1033,75,7.26%,300,29.04%
